"","Year","Month","Day","Hour","soil_temp","soil_mois"
"1","2018","1","1","0","278.623491553456","0.501645595929908"
"2","2018","1","1","1","278.519469742642","0.500698543629234"
"3","2018","1","1","2","278.674044209179","0.499265823482061"
"4","2018","1","1","3","278.692029288619","0.498080793936602"
"5","2018","1","1","4","278.911252824495","0.497051178102023"
"6","2018","1","1","5","279.200472345219","0.496050702338235"
"7","2018","1","1","6","279.26949616361","0.495341627282345"
"8","2018","1","1","7","279.298175074068","0.495050226574446"
"9","2018","1","1","8","279.156724854689","0.49533677060388"
"10","2018","1","1","9","279.290883825647","0.495390194066995"
"11","2018","1","1","10","279.843074372775","0.500047748714925"
"12","2018","1","1","11","280.063756158336","0.501529035646749"
"13","2018","1","1","12","280.176527467256","0.501995276779388"
"14","2018","1","1","13","280.37339117464","0.508202111857651"
"15","2018","1","1","14","280.618863204833","0.506905378707498"
"16","2018","1","1","15","280.523590892125","0.505312388170979"
"17","2018","1","1","16","280.615946705465","0.50962997532636"
"18","2018","1","1","17","280.537201222511","0.513107357107296"
"19","2018","1","1","18","280.561991467145","0.501825293033113"
"20","2018","1","1","19","280.498314564263","0.507284199627767"
"21","2018","1","1","20","280.546922887074","0.508658639633361"
"22","2018","1","1","21","280.657749863082","0.510382760488434"
"23","2018","1","1","22","280.979536960088","0.506385714111743"
"24","2018","1","1","23","280.933845136646","0.5047684401829"
"25","2018","1","2","0","280.929956470821","0.503117169504802"
"26","2018","1","2","1","280.863363068571","0.503112312826337"
"27","2018","1","2","2","280.870168233764","0.503413426891166"
"28","2018","1","2","3","280.966898796158","0.502699495156812"
"29","2018","1","2","4","280.920720889487","0.503889381380736"
"30","2018","1","2","5","280.758855174528","0.504753870147505"
"31","2018","1","2","6","280.735523179579","0.501640739251443"
"32","2018","1","2","7","280.759827340984","0.503777677776041"
"33","2018","1","2","8","280.990230791107","0.505016130784615"
"34","2018","1","2","9","281.107862932308","0.508964610376655"
"35","2018","1","2","10","281.562350750588","0.509790245715704"
"36","2018","1","2","11","281.617278155364","0.5095134150432"
"37","2018","1","2","12","281.759214457971","0.5089306136274"
"38","2018","1","2","13","281.981354493216","0.508770343238056"
"39","2018","1","2","14","282.017324652096","0.508503225922481"
"40","2018","1","2","15","282.02121331792","0.50928029447688"
"41","2018","1","2","16","282.08537630403","0.508614929527176"
"42","2018","1","2","17","282.289531259835","0.508877190164285"
"43","2018","1","2","18","282.40376081844","0.50906660062442"
"44","2018","1","2","19","282.543752788135","0.502165260525663"
"45","2018","1","2","20","282.625900853685","0.504098218554731"
"46","2018","1","2","21","282.717284500569","0.506206017008538"
"47","2018","1","2","22","283.034696848522","0.509207444299905"
"48","2018","1","2","23","283.100318084317","0.50897918041205"
"49","2018","1","3","0","283.162536737514","0.508114691645281"
"50","2018","1","3","1","283.333638033808","0.508090408252956"
"51","2018","1","3","2","283.318083370508","0.504647023221275"
"52","2018","1","3","3","283.353081362932","0.506113740117703"
"53","2018","1","3","4","283.309819955631","0.508605216170246"
"54","2018","1","3","5","283.185382649235","0.509605691934035"
"55","2018","1","3","6","283.039071597575","0.509022890518235"
"56","2018","1","3","7","282.89664921174","0.509411424795435"
"57","2018","1","3","8","282.918036873777","0.508056411503701"
"58","2018","1","3","9","282.860192969632","0.507629023798782"
"59","2018","1","3","10","283.318569453737","0.507021938990658"
"60","2018","1","3","11","283.495017665539","0.507201636093862"
"61","2018","1","3","12","283.541681655437","0.506769391710478"
"62","2018","1","3","13","283.574249231721","0.507425043303252"
"63","2018","1","3","14","283.685076207729","0.507167639344607"
"64","2018","1","3","15","283.723962865977","0.502937472401597"
"65","2018","1","3","16","283.876592999603","0.503704827599066"
"66","2018","1","3","17","283.922770906273","0.503525130495861"
"67","2018","1","3","18","283.844997589776","0.503884524702271"
"68","2018","1","3","19","283.810971763808","0.503369716784982"
"69","2018","1","3","20","283.914507491395","0.502845195510762"
"70","2018","1","3","21","283.739517529277","0.502004990136318"
"71","2018","1","3","22","283.789098018544","0.501159928083409"
"72","2018","1","3","23","283.757502608717","0.503049176006292"
"73","2018","1","4","0","283.648619965621","0.502806342083042"
"74","2018","1","4","1","283.537306906384","0.501893286531623"
"75","2018","1","4","2","283.509114079154","0.500761680449279"
"76","2018","1","4","3","283.430368596201","0.499387240443686"
"77","2018","1","4","4","283.502794997189","0.498338197895247"
"78","2018","1","4","5","283.427452096832","0.497206591812903"
"79","2018","1","4","6","283.285029710997","0.496312962975344"
"80","2018","1","4","7","283.157675905233","0.49571559152415"
"81","2018","1","4","8","283.229616222993","0.49517164353607"
"82","2018","1","4","9","283.070667007402","0.495263920426905"
"83","2018","1","4","10","283.144551658074","0.494797679294266"
"84","2018","1","4","11","283.046848929225","0.494855959435846"
"85","2018","1","4","12","282.971506028869","0.495166786857606"
"86","2018","1","4","13","283.220866724887","0.494719972438826"
"87","2018","1","4","14","283.562583234246","0.493738923388897"
"88","2018","1","4","15","283.694311789063","0.493015278297613"
"89","2018","1","4","16","283.578623980774","0.491975949106104"
"90","2018","1","4","17","283.347734447423","0.491383434333375"
"91","2018","1","4","18","283.137746492881","0.490742352775995"
"92","2018","1","4","19","282.889844046547","0.490188691430986"
"93","2018","1","4","20","282.797488233206","0.489406766198122"
"94","2018","1","4","21","282.428551063074","0.488576274180608"
"95","2018","1","4","22","282.615693105895","0.487614651844539"
