,Temp,FM,Psi,Date
0,9.762278132,0,-0.285860975,0
1,10.05176256,0,-0.300488981,0
2,9.743926121,0,-0.299688116,0
3,10.10522698,0,-0.30957187,0
4,9.980212409,0,-0.323773083,0
5,9.481654113,0,-0.349217112,0
6,9.193497088,0,-0.326817088,0
7,8.750799571,0,-0.366620575,0
8,8.886907842,0,-0.408383887,0
9,9.121201038,0,-0.351117126,0
10,9.290109326,0,-0.323989196,0
11,9.07067366,0,-0.347392146,0
12,9.045296861,0,-0.362888418,0
13,9.353635963,0,-0.355607564,0
14,9.246995013,0,-0.375352403,0
15,9.31564307,0,-0.373084606,0
16,9.395673496,0,-0.338432097,0
17,9.349720004,0,-0.355447981,0
18,9.63430521,0,-0.272936325,0
19,9.282915441,0,-0.211356843,0
20,9.315052392,0,-0.214163525,0
21,9.626734999,0,-0.250932766,0
22,9.946810507,0,-0.301469148,0
23,9.947595524,0,-0.359642753,0
24,9.810264075,0,-0.410986549,0
25,9.729245735,0,-0.366341607,0
26,9.846356336,0,-0.308009527,0
27,9.836923334,0,-0.23822308,0
28,9.945350802,0,-0.267274705,0
29,9.911004048,0,-0.314472515,0
30,10.06945914,0,-0.36355908,0
31,10.23008492,0,-0.380956669,0
32,9.985041472,0,-0.399996227,0
33,9.942889186,0,-0.445397464,0
34,10.2507162,0,-0.480468858,0
35,10.38823457,0,-0.463042908,0
36,10.59624143,0,-0.527483636,0
37,10.5593858,0,-0.594796506,0
38,10.487205,0,-0.646095707,0
39,10.54464638,0,-0.757199471,0
40,10.96444274,0,-0.823430833,0
41,11.24649253,0,-0.895484105,0
42,11.32445144,0,-0.896394712,0
43,11.52932864,0,-0.670697963,0
44,11.71011645,0,-0.700203681,0
45,11.47007868,0,-0.734687107,0
46,11.25889426,0,-0.727029776,0
47,10.87282416,0,-0.695497309,0
48,10.77503558,0,-0.606246341,0
49,11.10009637,0,-0.482150054,0
50,11.07188677,0,-0.438448549,0
51,11.34908077,0,-0.445929538,0
52,11.49214141,0,-0.458938431,0
53,11.88415296,0,-0.505753112,0
54,11.70086979,0,-0.545117051,0
55,11.81795718,0,-0.50630519,0
56,12.20345512,0,-0.484053473,0
57,12.14338953,0,-0.527665492,0
58,12.04342885,0,-0.605832988,0
59,12.94749004,0,-3.093572426,0
60,12.38011494,0,-0.733886776,0
61,12.74698045,0,-0.685833884,0
62,13.00580119,0,-0.546725825,0
63,13.09779497,0,-0.403157542,0
64,13.0430829,0,-0.433988887,0
65,12.78533429,0,-0.564313652,0
66,12.96753793,0,-0.671814672,0
67,13.17153213,0,-0.775606761,0
68,13.34777596,0,-0.854120145,0
69,13.78591584,0,-1.155396246,0
70,14.2382734,0,-1.387236057,0
71,14.61854413,0,-1.315107716,0
72,14.07228354,0,-1.262148958,0
73,13.57191224,0,-0.871304795,0
74,13.55817764,0,-0.834002054,0
75,13.66687324,0,-0.867455332,0
76,13.8459839,0,-0.971107101,0
77,14.18059985,0,-0.842847396,0
78,14.22018851,0,-0.910517423,0
79,14.2522595,0,-0.729757684,0
80,14.10740815,0,-0.66230316,0
81,14.42186665,0,-0.715350088,0
82,14.26271765,0,-0.896920715,0
83,14.43497776,0,-1.00616233,0
84,14.64572863,0,-1.269000077,0
85,14.78387633,0,-1.511018808,0
86,15.1628814,0,-1.580330561,0
87,15.65075713,0,-1.220652367,0
88,15.61241238,0,-0.884929386,0
89,16.01845366,0,-0.960062979,0
90,16.02323868,0,-0.9654809,0
91,15.86908077,0,-1.107510913,0
92,15.62378443,0,-1.150089388,0
93,15.70252193,0,-1.343005765,0
94,15.77609968,0,-1.614133415,0
95,15.84333289,0,-1.386848675,0
96,16.21394883,0,-1.419080141,0
97,16.38217924,0,-1.850869876,0
98,16.5465613,0,-1.81679229,0
99,16.57003622,0,-1.341551445,0
100,16.82438474,0,-1.177423292,0
101,16.23136179,0,-1.066971498,0
102,16.1934079,0,-1.112650547,0
103,16.62319423,0,-1.116339099,0
104,17.05105973,0,-1.320744497,0
105,17.11192163,0,-1.255476755,0
106,17.2025546,0,-1.143338894,0
107,17.73282404,0,-1.335594558,0
108,17.81392652,0,-1.307678139,0
109,17.82181554,0,-1.169561802,0
110,17.32687498,0,-0.80703039,0
111,17.5033561,0,-0.823382085,0
112,17.8002093,0,-0.88182227,0
113,18.20833887,0,-0.941409079,0
114,18.6557855,0,-1.459471494,0
115,18.62836888,0,-1.321123211,0
116,19.00561676,0,-1.188711862,0
117,19.39784223,0,-1.567249803,0
118,18.79922372,0,-1.25951379,0
119,18.51922224,0,-1.384533813,0
120,18.97074075,0,-1.678367943,0
121,18.76789227,0,-1.690945474,0
122,19.13287164,0,-1.569804379,0
123,19.42995566,0,-1.395912773,0
124,19.70499701,0,-1.12515154,0
125,19.55739249,0,-1.308439643,0
126,19.60250895,0,-1.376037447,0
127,20.00223063,0,-1.382571531,0
128,20.39933568,0,-1.573679004,0
129,21.04441306,0,-1.505616369,0
130,21.02652824,0,-1.742991303,0
131,21.27279557,0,-2.015121406,0
132,21.14218692,0,-2.57596877,0
133,21.3010487,0,-3.682939293,0
134,21.73707242,0,-4.893583678,0
135,21.64501474,0,-6.195958401,0
136,21.72085224,0,-7.032708128,0
137,21.81745426,0,-7.130668799,0
138,22.09976861,0,-7.084962942,0
139,22.29949977,0,-7.880224092,0
140,22.2227584,0,-7.959088721,0
141,22.08913621,0,-5.332344014,0
142,22.6358,0,-4.957328693,0
143,23.05658555,0,-6.776933685,0
144,22.88033014,0,-8.002598386,0
145,23.01877871,0,-7.979945359,0
146,23.30045749,0,-7.820046979,0
147,23.4396788,0,-7.440100091,0
