"","Year","Month","Day","Hour","soil_temp","soil_mois"
"1","2006","1","1","0","280.705862517054","0.226623025809534"
"2","2006","1","1","1","280.937641094378","0.226545980732733"
"3","2006","1","1","2","280.736969641905","0.226468935655932"
"4","2006","1","1","3","280.263653389263","0.226382259944531"
"5","2006","1","1","4","280.636938887481","0.22627150764663"
"6","2006","1","1","5","280.86261802856","0.226170385983328"
"7","2006","1","1","6","280.507020895454","0.226054818368126"
"8","2006","1","1","7","280.198999365062","0.225958512022125"
"9","2006","1","1","8","281.068778973654","0.225842944406924"
"10","2006","1","1","9","280.866887633932","0.225655147032221"
"11","2006","1","1","10","283.390834352272","0.222332578095174"
"12","2006","1","1","11","283.795226975341","0.221884753586268"
"13","2006","1","1","12","284.369793869656","0.22132136146216"
"14","2006","1","1","13","284.869947641777","0.220695370213151"
"15","2006","1","1","14","284.963269016332","0.220103086185243"
"16","2006","1","1","15","284.702823088654","0.219722676118537"
"17","2006","1","1","16","284.715021961145","0.219375973272933"
"18","2006","1","1","17","283.720813853147","0.219149653359829"
"19","2006","1","1","18","283.209071152159","0.219024455110028"
"20","2006","1","1","19","282.929716972121","0.218894441542926"
"21","2006","1","1","20","281.587840998136","0.218788504562324"
"22","2006","1","1","21","280.220957335546","0.218682567581723"
"23","2006","1","1","22","279.456697973999","0.218417725130219"
"24","2006","1","1","23","279.414001920281","0.218321418784218"
"25","2006","1","2","0","278.725375568177","0.218210666486316"
"26","2006","1","2","1","279.07243349054","0.218119175457615"
"27","2006","1","2","2","278.942515498513","0.218027684428914"
"28","2006","1","2","3","278.40454522167","0.217926562765612"
"29","2006","1","2","4","278.800398633996","0.217844702371511"
"30","2006","1","2","5","278.421623643157","0.21774358070821"
"31","2006","1","2","6","278.224611852431","0.217647274362208"
"32","2006","1","2","7","278.50396603247","0.217536522064307"
"33","2006","1","2","8","279.148066499983","0.217435400401005"
"34","2006","1","2","9","278.683289458084","0.217228341757102"
"35","2006","1","2","10","281.89342275403","0.215186647221874"
"36","2006","1","2","11","282.729045519648","0.214666592953466"
"37","2006","1","2","12","283.553079356399","0.214055047656358"
"38","2006","1","2","13","284.371623700529","0.213385718551648"
"39","2006","1","2","14","285.225544774883","0.21278380388914"
"40","2006","1","2","15","284.921182906239","0.212254118986133"
"41","2006","1","2","16","284.786385365216","0.211859262967527"
"42","2006","1","2","17","283.692146502794","0.211647389006324"
"43","2006","1","2","18","283.046826148032","0.211507744804622"
"44","2006","1","2","19","282.695498620298","0.21139699250672"
"45","2006","1","2","20","281.681162372691","0.211310316795319"
"46","2006","1","2","21","280.071521147534","0.211209195132018"
"47","2006","1","2","22","279.127938360373","0.210795077844212"
"48","2006","1","2","23","278.707687203066","0.210703586815511"
"49","2006","1","3","0","278.541782537191","0.210616911104109"
"50","2006","1","3","1","278.718666188308","0.210539866027308"
"51","2006","1","3","2","278.299024974625","0.210462820950507"
"52","2006","1","3","3","277.776303288396","0.210376145239106"
"53","2006","1","3","4","278.047118257691","0.210308730796905"
"54","2006","1","3","5","277.873284324697","0.210231685720104"
"55","2006","1","3","6","277.690301237336","0.210159455960603"
"56","2006","1","3","7","277.774473457522","0.210096856835702"
"57","2006","1","3","8","278.41125460154","0.210024627076201"
"58","2006","1","3","9","278.036139272449","0.209870536922599"
"59","2006","1","3","10","281.661034233081","0.205604165794739"
"60","2006","1","3","11","282.410045004014","0.205199679141533"
"61","2006","1","3","12","283.032187501043","0.204694070825026"
"62","2006","1","3","13","283.670798475935","0.204164385922019"
"63","2006","1","3","14","284.435667781106","0.203639516336311"
"64","2006","1","3","15","284.05994250839","0.203201322462005"
"65","2006","1","3","16","283.911726207628","0.2028594349337"
"66","2006","1","3","17","282.67293070619","0.202710160097398"
"67","2006","1","3","18","282.400895849646","0.202604223116797"
"68","2006","1","3","19","282.167287441448","0.202527178039996"
"69","2006","1","3","20","280.683294602946","0.202459763597795"
"70","2006","1","3","21","278.29963491825","0.202392349155594"
"71","2006","1","3","22","277.863525226705","0.202190105828991"
"72","2006","1","3","23","277.126103384638","0.20213713733869"
"73","2006","1","4","0","276.818081854246","0.20209379948299"
"74","2006","1","4","1","276.263643099541","0.202045646309989"
"75","2006","1","4","2","275.66284862937","0.201997493136988"
"76","2006","1","4","3","275.271264822417","0.201949339963988"
"77","2006","1","4","4","275.106580043791","0.201910817425587"
"78","2006","1","4","5","274.908348365816","0.201872294887187"
"79","2006","1","4","6","274.53933247297","0.201833772348786"
"80","2006","1","4","7","274.538112585721","0.201804880444986"
"81","2006","1","4","8","275.242597472063","0.201756727271985"
"82","2006","1","4","9","274.93579582892","0.201670051560584"
"83","2006","1","4","10","278.408204883418","0.202036015675389"
"84","2006","1","4","11","279.130378134871","0.201718204733584"
"85","2006","1","4","12","280.564355596161","0.201289641493878"
"86","2006","1","4","13","281.870854839922","0.200832186350372"
"87","2006","1","4","14","283.256646754873","0.200379546524166"
"88","2006","1","4","15","283.337159313312","0.19999432114016"
"89","2006","1","4","16","283.190162899799","0.199743924640557"
"90","2006","1","4","17","281.650055247839","0.199662064246455"
"91","2006","1","4","18","280.369783579933","0.199637987659955"
"92","2006","1","4","19","279.546969630431","0.199599465121555"
"93","2006","1","4","20","277.994053162356","0.199570573217754"
"94","2006","1","4","21","276.327687180117","0.199532050679354"
"95","2006","1","4","22","275.409722025187","0.199459820919853"
"96","2006","1","4","23","275.131587732397","0.199416483064152"
"97","2006","1","5","0","275.176113616989","0.199377960525752"
