"","X","Month","Day","mean_temp","mean_mois","WP","Temp","Psi"
"1",1,1,1,280.529308981816,0.344549340875561,5.70310351163718,7.52930898181597,-0.00570310351163718
"2",2,1,2,280.927439209668,0.348511958362069,5.39231501875939,7.92743920966802,-0.00539231501875939
"3",3,1,3,280.205142817466,0.345800587497514,5.60269201459959,7.20514281746603,-0.00560269201459959
"4",4,1,4,280.078006758168,0.345919276377147,5.59327829954369,7.07800675816799,-0.00559327829954369
"5",5,1,5,279.822030240262,0.345590040022766,5.61943840366811,6.822030240262,-0.00561943840366811
"6",6,1,6,279.648155987977,0.346423225102423,5.55351949283718,6.64815598797702,-0.00555351949283718
"7",7,1,7,279.436746681698,0.342454765098176,5.87608657638754,6.43674668169803,-0.00587608657638754
"8",8,1,8,279.878026126526,0.342135691153675,5.90298895056883,6.87802612652598,-0.00590298895056883
"9",9,1,9,280.033050538241,0.345338969586712,5.63948673662286,7.03305053824101,-0.00563948673662287
"10",10,1,10,279.940137705917,0.346100188780907,5.57896598558806,6.94013770591698,-0.00557896598558807
"11",11,1,11,279.53770959741,0.345507826866435,5.62599377803271,6.53770959741001,-0.00562599377803271
"12",12,1,12,279.31542751608,0.343440580907717,5.79389621654903,6.31542751607998,-0.00579389621654903
"13",13,1,13,279.844796880851,0.344300201344068,5.72335463372968,6.84479688085099,-0.00572335463372968
"14",14,1,14,280.22452465423,0.347985637314316,5.43239848312505,7.22452465422998,-0.00543239848312505
"15",15,1,15,279.968629271953,0.347182697436341,5.4942421005432,6.96862927195298,-0.0054942421005432
"16",16,1,16,280.053294927875,0.348495267692287,5.39358066497066,7.05329492787502,-0.00539358066497066
"17",17,1,17,279.96173674209,0.348152538605116,5.41964891832938,6.96173674209001,-0.00541964891832938
"18",18,1,18,279.911096634175,0.348831107548818,5.36818272831008,6.91109663417501,-0.00536818272831008
"19",19,1,19,280.51478573531,0.353330496782267,5.0414192770656,7.51478573531,-0.0050414192770656
"20",20,1,20,279.972793122383,0.352672591850144,5.08767269042928,6.972793122383,-0.00508767269042928
"21",21,1,21,279.675780527383,0.350532904101823,5.24167593197346,6.67578052738298,-0.00524167593197346
"22",22,1,22,279.720016451681,0.353458018376487,5.03251266003669,6.72001645168098,-0.00503251266003669
"23",23,1,23,280.242703423277,0.35689173573954,4.79965874516397,7.24270342327702,-0.00479965874516397
"24",24,1,24,279.824791883497,0.353499969243617,5.02958678647078,6.82479188349703,-0.00502958678647078
"25",25,1,25,279.253693279297,0.349977763868827,5.28254506662963,6.25369327929701,-0.00528254506662963
"26",26,1,26,279.121997705254,0.349496877763956,5.31825812770565,6.12199770525399,-0.00531825812770565
