"","Month","Day","mean_temp","mean_mois"
"1",1,1,281.479456626812,0.259619205766949
"2",1,2,281.814082140822,0.258727504826699
"3",1,3,281.903546674443,0.260760027939945
"4",1,4,281.658957113348,0.260426813037639
"5",1,5,281.182972077907,0.263010380395837
"6",1,6,281.096098124365,0.266286367727228
"7",1,7,280.953670107037,0.26812218173433
"8",1,8,281.222965414767,0.269067803177389
"9",1,9,281.413891677033,0.268478173125013
"10",1,10,281.912051188974,0.271053034999119
"11",1,11,281.44301183311,0.265307052630377
"12",1,12,280.774977705282,0.261968560288744
"13",1,13,280.798681736063,0.261343903983928
"14",1,14,281.070823052301,0.263741494380094
"15",1,15,280.975328300817,0.26455463583893
"16",1,16,281.272672120558,0.265200749986984
"17",1,17,281.311035723361,0.264187149660634
"18",1,18,280.897689657906,0.263818200560777
"19",1,19,281.368893341593,0.265190428574461
"20",1,20,281.672493102759,0.270616816010943
"21",1,21,281.60376527899,0.270907534650907
"22",1,22,281.434703863376,0.265685712167536
"23",1,23,281.399826314002,0.264556048611415
"24",1,24,281.376696093841,0.260435197294539
"25",1,25,281.035780484137,0.256944079793717
"26",1,26,280.726394580221,0.258371430369493
"27",1,27,281.058379711286,0.262674718589869
"28",1,28,281.216821699867,0.267018307507527
"29",1,29,281.19882013946,0.268998582442423
"30",1,30,281.251086799611,0.265833741265769
"31",1,31,281.722031625822,0.264147857881564
"32",2,1,281.895888151446,0.264812017909647
"33",2,2,281.816472242813,0.26359631745194
"34",2,3,281.618410458212,0.259223254253862
"35",2,4,281.792961612593,0.257417307416641
"36",2,5,281.97881572182,0.258591425788238
"37",2,6,281.99101805736,0.258493447828487
"38",2,7,281.987289249132,0.266882225003641
"39",2,8,281.826108604651,0.271643148575471
"40",2,9,281.738970388488,0.269595046447984
"41",2,10,281.930565835622,0.264659229821396
"42",2,11,281.575734393752,0.261401772964718
"43",2,12,281.918928744089,0.264224005449277
"44",2,13,282.022966205377,0.262075594026649
"45",2,14,282.174651390536,0.267772135903718
"46",2,15,282.287549808611,0.269403920144576
"47",2,16,282.230102099057,0.267378004524023
"48",2,17,282.447318682903,0.26820953200072
"49",2,18,282.662385962145,0.264326471096095
"50",2,19,282.635938420924,0.26327395440872
"51",2,20,282.560055676552,0.26320200586946
"52",2,21,282.600911612138,0.26074283829928
"53",2,22,282.748985864973,0.258874942949099
"54",2,23,282.968544048841,0.252728403525477
"55",2,24,283.164284714277,0.25178623074049
"56",2,25,282.965154416968,0.250577801921557
"57",2,26,282.997496592645,0.25306039943971
"58",2,27,282.710652463213,0.255986642734084
"59",2,28,282.679864976867,0.256170266333776
"60",2,29,283.730280227271,0.225752835342462
"61",3,1,283.048046572174,0.252105419488362
"62",3,2,283.517340369731,0.250095423612364
"63",3,3,283.822541689636,0.255307089058641
"64",3,4,283.82157916854,0.259049268142366
"65",3,5,283.659721312266,0.264563621315469
"66",3,6,283.410635672272,0.261360124631318
"67",3,7,283.381527797992,0.253976972457707
"68",3,8,283.699053105242,0.252880296936246
"69",3,9,283.934149366885,0.247451204020649
"70",3,10,284.305956348038,0.244788529132511
"71",3,11,284.593038366966,0.236217618183819
"72",3,12,284.650261640491,0.23868621896191
"73",3,13,284.479964140689,0.239550427972615
"74",3,14,284.526890489447,0.238482301658172
"75",3,15,284.892589987967,0.233754830078028
"76",3,16,284.658922877275,0.229213964426571
"77",3,17,284.949111283358,0.227915294789589
"78",3,18,285.024610120394,0.226690431517201
"79",3,19,284.940010164629,0.2318313447118
"80",3,20,284.926144080903,0.230828455781258
"81",3,21,285.016077756762,0.229941565509506
"82",3,22,285.17583368482,0.237166968040847
"83",3,23,285.137256088791,0.241881721184474
"84",3,24,284.939154782697,0.239368928918874
"85",3,25,284.990058754881,0.23984588458306
"86",3,26,285.065921127501,0.237008651178683
"87",3,27,285.131726157166,0.234109670056778
"88",3,28,285.349383669223,0.233890149893481
"89",3,29,285.635077795069,0.235139807073776
"90",3,30,285.865271089695,0.240401281706491
"91",3,31,285.997367389459,0.244787311803295
"92",4,1,285.740980810125,0.247899575404113
"93",4,2,285.7942914405,0.249605170791055
"94",4,3,285.807718753762,0.253615748122408
"95",4,4,285.823036862341,0.254666905591707
"96",4,5,285.710973886207,0.252105765060808
"97",4,6,285.971899498272,0.245242915104551
"98",4,7,285.732633567049,0.242331656167278
"99",4,8,285.869093534173,0.244448772883395
"100",4,9,286.1790548993,0.241708656543323
"101",4,10,286.3254685104,0.238004473948235
"102",4,11,286.614804016277,0.242496101288861
"103",4,12,286.280988867975,0.243807796607801
"104",4,13,286.40510910305,0.247470762535009
"105",4,14,286.626480720332,0.241475851887246
"106",4,15,286.928412766672,0.23469423519154
"107",4,16,287.044106252647,0.233360671103642
"108",4,17,287.235400022001,0.22688213524474
"109",4,18,287.394269545528,0.220193112332899
"110",4,19,287.288189502472,0.222628168035668
"111",4,20,287.084610040807,0.224573298304935
"112",4,21,287.226719184759,0.234386033829387
"113",4,22,287.540737551992,0.231668987302673
"114",4,23,288.014053802544,0.228410171758474
"115",4,24,288.563535944496,0.222226975795029
"116",4,25,288.841691921544,0.213187280540556
"117",4,26,288.828419995468,0.210011480206152
"118",4,27,288.540543814265,0.215619515870658
"119",4,28,288.336711526043,0.217488910382432
"120",4,29,288.381120063967,0.218835779043977
"121",4,30,288.54660204516,0.221672120563661
"122",5,1,288.44262443102,0.223421758783643
"123",5,2,288.659995127991,0.224218689738761
"124",5,3,288.775405056336,0.22448944023203
"125",5,4,289.027728205218,0.218877056641103
"126",5,5,289.218161938995,0.213417190758986
