"","Year","Month","Day","Hour","soil_temp","soil_mois"
"1","2014","1","1","0","278.24715240303","0.255270016771309"
"2","2014","1","1","1","277.676825664318","0.255158293919006"
"3","2014","1","1","2","277.561625772184","0.255054276091"
"4","2014","1","1","3","277.635807520907","0.254938700726549"
"5","2014","1","1","4","277.524534897822","0.254830830386395"
"6","2014","1","1","5","277.594353014267","0.254730665070537"
"7","2014","1","1","6","277.427662261255","0.254622794730382"
"8","2014","1","1","7","277.318571454309","0.25453418695097"
"9","2014","1","1","8","277.809916448792","0.254403201537925"
"10","2014","1","1","9","278.669115644295","0.254175903321171"
"11","2014","1","1","10","279.991732587703","0.253216627796226"
"12","2014","1","1","11","281.241913235299","0.252561700731002"
"13","2014","1","1","12","282.410493959299","0.25166791791258"
"14","2014","1","1","13","283.038420644078","0.250693232339041"
"15","2014","1","1","14","283.426347553576","0.249826417105657"
"16","2014","1","1","15","283.401474849593","0.249194605113324"
"17","2014","1","1","16","283.495292943566","0.24884787901997"
"18","2014","1","1","17","283.069838796478","0.248651400900403"
"19","2014","1","1","18","283.065911527428","0.248470332829429"
"20","2014","1","1","19","282.913184397704","0.248281559734159"
"21","2014","1","1","20","283.59871102855","0.248135164272521"
"22","2014","1","1","21","283.193765953168","0.247992621323031"
"23","2014","1","1","22","283.372674876559","0.247164331211131"
"24","2014","1","1","23","283.643220077784","0.246964000579415"
"25","2014","1","2","0","283.65587461139","0.246732849850513"
"26","2014","1","2","1","283.674638230184","0.24647858404872"
"27","2014","1","2","2","283.190711410574","0.246251285831966"
"28","2014","1","2","3","282.930202563588","0.246031692639509"
"29","2014","1","2","4","283.102129675334","0.245854477080684"
"30","2014","1","2","5","283.485692952555","0.245708081619045"
"31","2014","1","2","6","283.407147571554","0.245588653742446"
"32","2014","1","2","7","283.282347688408","0.245500045963033"
"33","2014","1","2","8","283.245693177274","0.245419143207917"
"34","2014","1","2","9","283.03012974275","0.245241927649092"
"35","2014","1","2","10","284.302564914963","0.243639282595369"
"36","2014","1","2","11","284.807437169507","0.243007470603035"
"37","2014","1","2","12","286.161035902087","0.242186885515432"
"38","2014","1","2","13","286.596962766642","0.241316217769899"
"39","2014","1","2","14","286.994489667151","0.240545715340224"
"40","2014","1","2","15","286.627944555814","0.240041036248787"
"41","2014","1","2","16","286.3355811932","0.239886935762852"
"42","2014","1","2","17","285.290491262662","0.239867673202111"
"43","2014","1","2","18","284.451364775637","0.239867673202111"
"44","2014","1","2","19","283.721765458785","0.239867673202111"
"45","2014","1","2","20","283.048456998317","0.239875378226407"
"46","2014","1","2","21","282.711148223241","0.239875378226407"
"47","2014","1","2","22","283.41587483611","0.239906198323594"
"48","2014","1","2","23","283.317256746631","0.239906198323594"
"49","2014","1","3","0","283.521911100461","0.239910050835743"
"50","2014","1","3","1","283.923801633248","0.239906198323594"
"51","2014","1","3","2","284.189546838967","0.239902345811446"
