"","X","Month","Day","mean_temp","mean_mois","WP","Temp","Psi"
"1",1,1,1,282.762278131744,0.173536137134183,285.860975242428,9.76227813174398,-0.285860975242428
"2",2,1,2,283.051762558367,0.171531715739825,300.488981005146,10.051762558367,-0.300488981005146
"3",3,1,3,282.743926120867,0.171638316535147,299.688116215079,9.743926120867,-0.299688116215079
"4",4,1,4,283.105226977275,0.170346700520831,309.571869509814,10.105226977275,-0.309571869509814
"5",5,1,5,282.98021240872,0.168577294946213,323.773083450825,9.98021240871998,-0.323773083450825
"6",6,1,6,282.481654112731,0.165634460974685,349.21711241934,9.48165411273101,-0.34921711241934
"7",7,1,7,282.193497087953,0.168210462104215,326.817088384117,9.19349708795301,-0.326817088384117
"8",8,1,8,281.750799571111,0.163769789495522,366.620575464225,8.75079957111097,-0.366620575464225
"9",9,1,9,281.886907841516,0.159708120704976,408.383887144142,8.88690784151601,-0.408383887144142
"10",10,1,10,282.121201037728,0.165425372545059,351.117126397729,9.12120103772799,-0.351117126397729
"11",11,1,11,282.290109326022,0.168551111204945,323.989196469338,9.29010932602199,-0.323989196469338
"12",12,1,12,282.070673659523,0.165836615438082,347.392145760559,9.07067365952298,-0.347392145760559
"13",13,1,13,282.04529686078,0.164160347287783,362.888417821925,9.04529686078001,-0.362888417821925
"14",14,1,14,282.353635963335,0.164936714334972,355.607564059292,9.35363596333502,-0.355607564059292
"15",15,1,15,282.246995013116,0.162874872707337,375.352403039792,9.24699501311602,-0.375352403039792
"16",16,1,16,282.315643070388,0.163104811260192,373.084605953588,9.31564307038798,-0.373084605953588
"17",17,1,17,282.395673496066,0.166848486875735,338.43209684688,9.39567349606602,-0.33843209684688
"18",18,1,18,282.349720003994,0.164953949828344,355.447981233351,9.34972000399398,-0.355447981233351
"19",19,1,19,282.634305209524,0.175415340873276,272.936325074316,9.63430520952397,-0.272936325074316
"20",20,1,20,282.282915440827,0.186173620633412,211.356842982236,9.28291544082703,-0.211356842982236
"21",21,1,21,282.315052391986,0.185602757845426,214.163525400772,9.315052391986,-0.214163525400772
"22",22,1,22,282.626734999172,0.178881513967747,250.932766061026,9.62673499917202,-0.250932766061026
"23",23,1,23,282.946810506531,0.171401724230362,301.469147849134,9.94681050653099,-0.301469147849134
"24",24,1,24,282.947595524004,0.164504042601025,359.642752621556,9.94759552400399,-0.359642752621556
"25",25,1,25,282.810264075468,0.159472102270469,410.986549295445,9.81026407546801,-0.410986549295445
"26",26,1,26,282.72924573451,0.163798812807811,366.341606948922,9.72924573451002,-0.366341606948922
"27",27,1,27,282.846356335964,0.170547458807987,308.009527226875,9.846356335964,-0.308009527226875
"28",28,1,28,282.836923334403,0.181059133389046,238.22308037821,9.83692333440302,-0.23822308037821
"29",29,1,29,282.945350801736,0.176273409093731,267.274705477915,9.94535080173603,-0.267274705477915
"30",30,1,30,282.911004048274,0.16972499062598,314.472514805327,9.91100404827398,-0.314472514805327
"31",31,1,31,283.069459143132,0.16408980072525,363.559080252131,10.069459143132,-0.363559080252131
"32",32,2,1,283.230084920952,0.162313910514794,380.956669329635,10.230084920952,-0.380956669329635
"33",33,2,2,282.985041471912,0.16048154594017,399.996226670511,9.98504147191198,-0.399996226670511
"34",34,2,3,282.9428891856,0.15651484510369,445.397464350334,9.9428891856,-0.445397464350334
"35",35,2,4,283.250716203399,0.153777413191503,480.468858496154,10.250716203399,-0.480468858496154
"36",36,2,5,283.388234572801,0.155105605507105,463.042908027038,10.388234572801,-0.463042908027038
"37",37,2,6,283.596241428626,0.15047149144666,527.483635867143,10.596241428626,-0.527483635867143
"38",38,2,7,283.559385799066,0.146322747183561,594.796505556027,10.559385799066,-0.594796505556027
"39",39,2,8,283.4872049966,0.143531734544911,646.095707481351,10.4872049966,-0.646095707481351
"40",40,2,9,283.544646384888,0.138326479165035,757.199471275562,10.544646384888,-0.757199471275562
"41",41,2,10,283.964442742009,0.135652474133456,823.430832570548,10.964442742009,-0.823430832570548
"42",42,2,11,284.246492528547,0.133029166991435,895.484105100686,11.246492528547,-0.895484105100686
"43",43,2,12,284.324451436688,0.132997695373357,896.394712377161,11.324451436688,-0.896394712377161
"44",44,2,13,284.529328642847,0.142288454517506,670.697962700046,11.529328642847,-0.670697962700046
"45",45,2,14,284.71011645378,0.140869517255539,700.203681292861,11.71011645378,-0.700203681292861
"46",46,2,15,284.470078682621,0.13930180844188,734.687106910511,11.470078682621,-0.734687106910511
"47",47,2,16,284.258894263527,0.139641986035767,727.02977552685,11.258894263527,-0.72702977552685
"48",48,2,17,283.872824162568,0.141090854537169,695.497309166868,10.872824162568,-0.695497309166868
"49",49,2,18,283.775035583763,0.145674704954667,606.246340812717,10.775035583763,-0.606246340812717
"50",50,2,19,284.100096368431,0.153652421462377,482.150053818622,11.100096368431,-0.482150053818622
"51",51,2,20,284.071886769006,0.15708883078217,438.448549469384,11.071886769006,-0.438448549469384
"52",52,2,21,284.349080771705,0.156471350979362,445.929537518231,11.349080771705,-0.445929537518232
"53",53,2,22,284.492141411807,0.155427428652247,458.938431071234,11.492141411807,-0.458938431071234
"54",54,2,23,284.884152959919,0.151952365219731,505.753111811602,11.884152959919,-0.505753111811602
"55",55,2,24,284.70086978515,0.149324047185191,545.11705092616,11.70086978515,-0.54511705092616
"56",56,2,25,284.817957179925,0.151913777575695,506.305189730783,11.817957179925,-0.506305189730783
"57",57,2,26,285.203455121474,0.153511554951815,484.053473251356,12.203455121474,-0.484053473251357
"58",58,2,27,285.143389528589,0.150459417397117,527.665492411082,12.143389528589,-0.527665492411082
"59",59,2,28,285.04342885383,0.145697836749696,605.832988208683,12.04342885383,-0.605832988208683
"60",60,2,29,285.947490042854,0.0996805049254776,3093.57242619636,12.947490042854,-3.09357242619636
"61",61,3,1,285.380114944479,0.139337158245011,733.886775532345,12.380114944479,-0.733886775532345
"62",62,3,2,285.746980449986,0.141551161733933,685.833883803602,12.746980449986,-0.685833883803602
"63",63,3,3,286.005801191891,0.149221643153402,546.725824904718,13.005801191891,-0.546725824904718
"64",64,3,4,286.097794971045,0.160187713580564,403.157541948123,13.097794971045,-0.403157541948123
"65",65,3,5,286.043082903302,0.157463143668286,433.988886755404,13.043082903302,-0.433988886755404
"66",66,3,6,285.785334289566,0.148125790208373,564.313652395272,12.785334289566,-0.564313652395272
"67",67,3,7,285.967537930941,0.142233359987659,671.814672004456,12.967537930941,-0.671814672004456
"68",68,3,8,286.171532126051,0.137555191748388,775.606760879552,13.171532126051,-0.775606760879552
"69",69,3,9,286.347775957225,0.134501832147454,854.120144748321,13.347775957225,-0.854120144748321
"70",70,3,10,286.785915836871,0.125366900129877,1155.39624573143,13.785915836871,-1.15539624573143
"71",71,3,11,287.238273395295,0.12014191621019,1387.23605660091,14.238273395295,-1.38723605660091
"72",72,3,12,287.618544127865,0.121644594629343,1315.10771596748,14.618544127865,-1.31510771596748
"73",73,3,13,287.072283540963,0.122814133214681,1262.14895777778,14.072283540963,-1.26214895777778
"74",74,3,14,286.57191223721,0.133879558113379,871.3047953373,13.57191223721,-0.8713047953373
"75",75,3,15,286.55817764044,0.135250239736473,834.002053971557,13.55817764044,-0.834002053971557
"76",76,3,16,286.666873242332,0.13401762844593,867.455332282573,13.666873242332,-0.867455332282573
"77",77,3,17,286.845983904919,0.130542036460708,971.107100952512,13.845983904919,-0.971107100952512
"78",78,3,18,287.180599854973,0.134918474792762,842.847396119531,14.180599854973,-0.842847396119531
"79",79,3,19,287.220188506346,0.132514586448722,910.517422713569,14.220188506346,-0.910517422713569
"80",80,3,20,287.252259496809,0.13952029409404,729.757683619012,14.252259496809,-0.729757683619012
"81",81,3,21,287.107408150343,0.142706278430117,662.303160284119,14.107408150343,-0.662303160284119
"82",82,3,22,287.421866650126,0.140169455221105,715.350087741119,14.421866650126,-0.715350087741119
"83",83,3,23,287.262717653076,0.13297953408644,896.920714831542,14.262717653076,-0.896920714831542
"84",84,3,24,287.434977758457,0.129468807140665,1006.16233042923,14.434977758457,-1.00616233042923
"85",85,3,25,287.64572862576,0.122659458027846,1269.00007697103,14.64572862576,-1.26900007697103
"86",86,3,26,287.783876331858,0.11777507011117,1511.0188083518,14.783876331858,-1.5110188083518
"87",87,3,27,288.16288139692,0.116551804410394,1580.33056075029,15.16288139692,-1.58033056075029
"88",88,3,28,288.650757126302,0.123773647225186,1220.65236668542,15.650757126302,-1.22065236668542
"89",89,3,29,288.612412380786,0.133396854013869,884.929386388925,15.612412380786,-0.884929386388925
"90",90,3,30,289.01845365933,0.130890089279392,960.062979262186,16.01845365933,-0.960062979262186
"91",91,3,31,289.0232386843,0.130718731528148,965.48089994638,16.0232386843,-0.96548089994638
"92",92,4,1,288.869080771184,0.126608340983432,1107.51091253439,15.869080771184,-1.10751091253439
"93",93,4,2,288.623784427988,0.125501328982517,1150.08938783212,15.623784427988,-1.15008938783212
"94",94,4,3,288.702521928964,0.121051601806387,1343.00576532539,15.702521928964,-1.34300576532539
"95",95,4,4,288.776099678597,0.11597897906031,1614.13341504786,15.776099678597,-1.61413341504786
"96",96,4,5,288.843332889592,0.120149727610662,1386.8486750882,15.843332889592,-1.3868486750882
"97",97,4,6,289.213948830568,0.119508834670993,1419.08014081064,16.213948830568,-1.41908014081064
"98",98,4,7,289.382179236336,0.112342181602733,1850.86987609487,16.382179236336,-1.85086987609487
"99",99,4,8,289.54656130015,0.11282923394399,1816.79229043081,16.54656130015,-1.81679229043081
"100",100,4,9,289.570036224821,0.121082137918305,1341.55144528536,16.570036224821,-1.34155144528536
"101",101,4,10,289.824384736134,0.124816957134646,1177.42329194959,16.824384736134,-1.17742329194959
"102",102,4,11,289.231361794845,0.127712220573484,1066.97149833617,16.231361794845,-1.06697149833617
"103",103,4,12,289.193407898595,0.126471952476634,1112.65054669457,16.193407898595,-1.11265054669457
"104",104,4,13,289.62319423482,0.126374548591133,1116.33909899368,16.62319423482,-1.11633909899368
"105",105,4,14,290.051059731413,0.121523538036641,1320.74449684759,17.051059731413,-1.32074449684759
